t,F
0.006,25.087
0.032,60.627
0.048,89.895
0.076,131.707
0.108,192.334
0.136,250.871
0.168,294.774
0.196,372.125
0.224,416.028
0.256,455.749
0.296,499.652
0.327,533.101
0.355,551.916
0.375,560.279
0.407,560.279
0.427,556.098
0.443,547.735
0.455,541.463
0.467,526.829
0.479,508.014
0.503,476.655
0.515,459.93
0.535,436.934
0.555,407.666
0.563,382.578
0.583,353.31
0.603,319.861
0.623,284.321
0.643,248.78
0.663,223.693
0.683,194.425
0.711,160.976
0.727,137.979
0.747,112.892
0.767,85.714
0.799,62.718
0.827,39.721
0.867,22.997
0.919,12.544
0.986,2.091
1.05,4.181
1.122,4.181
1.158,2.091
1.21,2.091
1.236,2.091
